,Interval,CumulativePlayerPointsInterval,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints,Player,res,GameId
253,1,5.0,0,2.0,2.0,32,22,10,360.0,12960.0,15.275165261912136,109.51620533342968,118.52567679431914,A. Burks - burksal01,3.6175664018519234,1159
22523,2,5.0,0,2.0,2.0,51,46,5,120.0,2880.0,15.275165261912136,109.51620533342968,118.52567679431914,A. Burks - burksal01,1.0626048606569878,1159
44793,3,10.0,0,2.0,2.0,75,65,10,120.0,1440.0,15.275165261912136,109.51620533342968,118.52567679431914,A. Burks - burksal01,0.752121346819647,1159
67063,4,17.0,0,2.0,2.0,101,95,6,0.0,0.0,15.275165261912136,109.51620533342968,118.52567679431914,A. Burks - burksal01,0.8512049387193681,1159
89340,0,0.0,0,1.0,1.0,0,0,0,0.0,0.0,15.1191218393023,123.3825681494986,120.43277278725262,A. Burks - burksal01,4.714323674036609,1584
260,1,5.0,0,1.0,1.0,38,25,13,468.0,16848.0,15.1191218393023,123.3825681494986,120.43277278725262,A. Burks - burksal01,4.421645146068559,1584
22530,2,9.0,0,1.0,1.0,63,59,4,96.0,2304.0,15.1191218393023,123.3825681494986,120.43277278725262,A. Burks - burksal01,3.4030121294519162,1584
44800,3,11.0,0,1.0,1.0,91,100,-9,108.0,1296.0,15.1191218393023,123.3825681494986,120.43277278725262,A. Burks - burksal01,1.7451168476072834,1584
67070,4,17.0,0,1.0,1.0,124,140,-16,0.0,0.0,15.1191218393023,123.3825681494986,120.43277278725262,A. Burks - burksal01,1.359164417331383,1584
89367,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,16.35415630164634,112.15448127263852,111.75212066023812,A. Caruso - carusal01,4.1365596965837,1212
287,1,2.0,1,2.0,2.0,25,26,-1,36.0,1296.0,16.35415630164634,112.15448127263852,111.75212066023812,A. Caruso - carusal01,2.4292044675393907,1212
22557,2,2.0,1,2.0,2.0,48,53,-5,120.0,2880.0,16.35415630164634,112.15448127263852,111.75212066023812,A. Caruso - carusal01,0.027193265467199003,1212
44827,3,4.0,1,2.0,2.0,74,73,1,12.0,144.0,16.35415630164634,112.15448127263852,111.75212066023812,A. Caruso - carusal01,-1.863188130352322,1212
67097,4,12.0,1,2.0,2.0,101,99,2,0.0,0.0,16.35415630164634,112.15448127263852,111.75212066023812,A. Caruso - carusal01,-1.070574826710784,1212
89369,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,18.53123445348118,115.81895586281748,115.6281809903572,A. Caruso - carusal01,4.215914856828594,1226
289,1,8.0,1,2.0,2.0,34,27,7,252.0,9072.0,18.53123445348118,115.81895586281748,115.6281809903572,A. Caruso - carusal01,5.117623483475833,1226
22559,2,13.0,1,2.0,2.0,54,56,-2,48.0,1152.0,18.53123445348118,115.81895586281748,115.6281809903572,A. Caruso - carusal01,4.64482342278253,1226
44829,3,17.0,1,2.0,2.0,81,83,-2,24.0,288.0,18.53123445348118,115.81895586281748,115.6281809903572,A. Caruso - carusal01,3.735948891902294,1226
67099,4,18.0,1,2.0,2.0,113,109,4,0.0,0.0,18.53123445348118,115.81895586281748,115.6281809903572,A. Caruso - carusal01,1.4427504116592156,1226
89391,0,0.0,1,2.0,2.0,0,0,0,0.0,0.0,16.07910591475924,113.0866346185956,111.49717752817514,A. Crabbe - crabbal01,4.200334275528315,233
311,1,5.0,1,2.0,2.0,33,24,9,324.0,11664.0,16.07910591475924,113.0866346185956,111.49717752817514,A. Crabbe - crabbal01,3.873660805229413,233
22581,2,5.0,1,2.0,2.0,57,50,7,168.0,4032.0,16.07910591475924,113.0866346185956,111.49717752817514,A. Crabbe - crabbal01,1.3600771646291596,233
44851,3,5.0,1,2.0,2.0,74,76,-2,24.0,288.0,16.07910591475924,113.0866346185956,111.49717752817514,A. Crabbe - crabbal01,-1.3438842045576924,233
67121,4,5.0,1,2.0,2.0,107,105,2,0.0,0.0,16.07910591475924,113.0866346185956,111.49717752817514,A. Crabbe - crabbal01,-4.080124255041792,233
89395,0,0.0,1,4.0,4.0,0,0,0,0.0,0.0,16.34726124721617,114.25568891393344,119.72376926322956,A. Crabbe - crabbal01,4.03124752475979,247
315,1,2.0,1,4.0,4.0,21,23,-2,72.0,2592.0,16.34726124721617,114.25568891393344,119.72376926322956,A. Crabbe - crabbal01,2.3921348837788403,247
22585,2,9.0,1,4.0,4.0,50,50,0,0.0,0.0,16.34726124721617,114.25568891393344,119.72376926322956,A. Crabbe - crabbal01,2.7191831265688626,247
44855,3,12.0,1,4.0,4.0,72,84,-12,144.0,1728.0,16.34726124721617,114.25568891393344,119.72376926322956,A. Crabbe - crabbal01,1.8022824743109613,247
67125,4,17.0,1,4.0,4.0,99,113,-14,0.0,0.0,16.34726124721617,114.25568891393344,119.72376926322956,A. Crabbe - crabbal01,0.9738745358712931,247
89401,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,16.020891870824254,121.4894019720182,127.8253251060296,A. Crabbe - crabbal01,4.426725124272346,437
321,1,6.0,0,2.0,2.0,30,29,1,36.0,1296.0,16.020891870824254,121.4894019720182,127.8253251060296,A. Crabbe - crabbal01,4.378243089754396,437
22591,2,8.0,0,2.0,2.0,55,58,-3,72.0,1728.0,16.020891870824254,121.4894019720182,127.8253251060296,A. Crabbe - crabbal01,2.7355304077365337,437
44861,3,9.0,0,2.0,2.0,84,83,1,12.0,144.0,16.020891870824254,121.4894019720182,127.8253251060296,A. Crabbe - crabbal01,0.4533633378118861,437
67131,4,14.0,0,2.0,2.0,148,139,9,0.0,0.0,16.020891870824254,121.4894019720182,127.8253251060296,A. Crabbe - crabbal01,-0.47000571320254314,437
89414,0,0.0,0,4.0,4.0,0,0,0,0.0,0.0,15.9807650960478,118.87799562346042,116.1023801901169,A. Crabbe - crabbal01,4.307891284757357,1926
334,1,5.0,0,4.0,4.0,31,29,2,72.0,2592.0,15.9807650960478,118.87799562346042,116.1023801901169,A. Crabbe - crabbal01,3.8419472170486464,1926
22604,2,8.0,0,4.0,4.0,57,56,1,24.0,576.0,15.9807650960478,118.87799562346042,116.1023801901169,A. Crabbe - crabbal01,2.52277762107255,1926
